# Pais; GrupoTecnologia; Tecnologia; TipoDoductor; Anio; Unidad; Valor
colombia; fossil fuels; oil; off-grid electricity;2000; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2001; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2002; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2003; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2004; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2005; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2006; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2007; gwh;190.5399933
colombia; fossil fuels; oil; off-grid electricity;2008; gwh;190.5399933
colombia; fossil fuels; oil; off-grid electricity;2009; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2010; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2011; gwh;190092
colombia; fossil fuels; oil; off-grid electricity;2012; gwh;200166
colombia; fossil fuels; oil; off-grid electricity;2013; gwh;210.2400055
colombia; fossil fuels; oil; off-grid electricity;2014; gwh;251412
colombia; fossil fuels; oil; off-grid electricity;2015; gwh;334632
colombia; fossil fuels; oil; off-grid electricity;2016; gwh;376.6799927
colombia; fossil fuels; oil; off-grid electricity;2017; gwh;381395
colombia; fossil fuels; oil; off-grid electricity;2018; gwh;397577
colombia; fossil fuels; oil; off-grid electricity;2019; gwh;441529
colombia; fossil fuels; oil; off-grid electricity;2020; gwh;475164
colombia; fossil fuels; oil; off-grid electricity;2021; gwh;462131
colombia; fossil fuels; oil; off-grid electricity;2022; gwh;456921
colombia; bioenergy; solid biofuels; off-grid electricity;2008; gwh;0.078000002
colombia; bioenergy; solid biofuels; off-grid electricity;2009; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2010; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2011; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2012; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2013; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2014; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2015; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2016; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2017; gwh;0.1305
colombia; bioenergy; solid biofuels; off-grid electricity;2018; gwh;0.1305
colombia; bioenergy; solid biofuels; off-grid electricity;2019; gwh;0.104500001
colombia; bioenergy; solid biofuels; off-grid electricity;2020; gwh;0.156000003
colombia; bioenergy; solid biofuels; off-grid electricity;2021; gwh;4835.718667
colombia; bioenergy; solid biofuels; off-grid electricity;2022; gwh;4835.718667
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2015; gwh;0.836000025
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2016; gwh;0.836000025
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2017; gwh;7406
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2018; gwh;1025
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2019; gwh;1.110000014
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2020; gwh;1041
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2021; gwh;17975
colombia; hydropower (excl. pumped storage); renewable hydropower; off-grid electricity;2022; gwh;11235
colombia; solar energy; solar photovoltaic; off-grid electricity;2000; gwh;6
colombia; solar energy; solar photovoltaic; off-grid electricity;2001; gwh;6
colombia; solar energy; solar photovoltaic; off-grid electricity;2002; gwh;6
colombia; solar energy; solar photovoltaic; off-grid electricity;2003; gwh;6
colombia; solar energy; solar photovoltaic; off-grid electricity;2004; gwh;7
colombia; solar energy; solar photovoltaic; off-grid electricity;2005; gwh;7
colombia; solar energy; solar photovoltaic; off-grid electricity;2006; gwh;7
colombia; solar energy; solar photovoltaic; off-grid electricity;2007; gwh;7
colombia; solar energy; solar photovoltaic; off-grid electricity;2008; gwh;7
colombia; solar energy; solar photovoltaic; off-grid electricity;2009; gwh;7
colombia; solar energy; solar photovoltaic; off-grid electricity;2010; gwh;8
colombia; solar energy; solar photovoltaic; off-grid electricity;2011; gwh;8
colombia; solar energy; solar photovoltaic; off-grid electricity;2012; gwh;8
colombia; solar energy; solar photovoltaic; off-grid electricity;2013; gwh;8
colombia; solar energy; solar photovoltaic; off-grid electricity;2014; gwh;9
colombia; solar energy; solar photovoltaic; off-grid electricity;2015; gwh;9
colombia; solar energy; solar photovoltaic; off-grid electricity;2016; gwh;9
colombia; solar energy; solar photovoltaic; off-grid electricity;2017; gwh;9
colombia; solar energy; solar photovoltaic; off-grid electricity;2018; gwh;9
colombia; solar energy; solar photovoltaic; off-grid electricity;2019; gwh;10
colombia; solar energy; solar photovoltaic; off-grid electricity;2020; gwh;10
colombia; solar energy; solar photovoltaic; off-grid electricity;2021; gwh;12
colombia; solar energy; solar photovoltaic; off-grid electricity;2022; gwh;29
colombia; fossil fuels; coal and peat; on-grid electricity;2000; gwh;2201
colombia; fossil fuels; coal and peat; on-grid electricity;2001; gwh;2362
colombia; fossil fuels; coal and peat; on-grid electricity;2002; gwh;2308
colombia; fossil fuels; coal and peat; on-grid electricity;2003; gwh;2928
colombia; fossil fuels; coal and peat; on-grid electricity;2004; gwh;1996
colombia; fossil fuels; coal and peat; on-grid electricity;2005; gwh;2469
colombia; fossil fuels; coal and peat; on-grid electricity;2006; gwh;2935
colombia; fossil fuels; coal and peat; on-grid electricity;2007; gwh;3478
colombia; fossil fuels; coal and peat; on-grid electricity;2008; gwh;3028
colombia; fossil fuels; coal and peat; on-grid electricity;2009; gwh;4236
